epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.142,0.99013,4.89632,1.48591,0.03267,0.51158,0.07641,0.06409,0.51995,4.43535,0.99612,0.000109238,0.000109238,0.000109238
2,657.242,0.80617,4.33925,1.27857,0.53278,0.20016,0.28692,0.2397,0.57428,3.9247,1.029,0.000198435,0.000198435,0.000198435
3,982.108,0.83681,3.8471,1.28541,0.26392,0.54419,0.42118,0.35207,0.63622,3.4101,1.07531,0.000265653,0.000265653,0.000265653
4,1301.15,0.79979,3.31484,1.24492,0.42311,0.60313,0.56644,0.49319,0.58579,2.88157,1.02302,0.000234099,0.000234099,0.000234099
5,1632.89,0.65062,2.86785,1.12672,0.51399,0.67888,0.67928,0.59862,0.53667,2.62523,0.984,0.000201132,0.000201132,0.000201132
6,1958.34,0.5985,2.48689,1.08572,0.55906,0.74913,0.77778,0.71546,0.48951,2.2212,0.97079,0.000168165,0.000168165,0.000168165
7,2276.49,0.54948,2.21983,1.02954,0.69207,0.75627,0.80519,0.73344,0.45271,2.06962,0.95375,0.000135198,0.000135198,0.000135198
8,2601.53,0.51266,1.99778,0.99864,0.72727,0.79049,0.83635,0.77229,0.43871,1.85121,0.92324,0.000102231,0.000102231,0.000102231
9,2921.39,0.48796,1.84666,0.98647,0.79697,0.79458,0.86956,0.8109,0.42487,1.76871,0.92656,6.9264e-05,6.9264e-05,6.9264e-05
10,3245.13,0.47047,1.77946,0.97554,0.79882,0.81059,0.89299,0.83594,0.39863,1.65627,0.90352,3.6297e-05,3.6297e-05,3.6297e-05
